2016-04-06 01:46:25,265 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,318 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,365 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,416 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,466 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,515 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,570 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,615 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,665 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,715 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,767 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,819 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,867 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,918 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:25,977 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,021 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,075 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,121 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,168 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,224 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,267 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,319 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,366 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,415 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,466 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,520 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,566 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,615 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,661 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,715 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,764 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,815 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,862 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,920 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:26,968 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,021 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,066 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,119 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,187 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,214 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,265 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:46:27,316 - web_control - INFO - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
